number,control,word,label
1, 0.5, be, 1
2, 0.0, denni, 1
3, 0.4, army, 1
4, 0.4, soldier, 1
5, 0.2222, cincinnatus, 1
6, 0.5, be, 1
7, 0.4, ok, 1
8, 0.75, have, 1
9, 0.7143, sex, 1
10, 0.4, ok, 1
11, 0.75, have, 1
12, 0.7143, picture, 1
13, 0.5882, profile, 1
14, 0.5, send, 1
15, 0.6667, email, 1
16, 0.8235, thanks, 1
17, 0.5, send, 1
18, 0.75, have, 1
19, 0.4211, one, 1
20, 0.5, be, 1
21, 0.7, take, 1
22, 0.2857, cloth, 1
23, 0.5, people, 1
24, 0.5882, do, 1
25, 0.6667, get, 1
26, 0.2222, cam, 1
27, 0.75, have, 1
28, 0.25, tit, 1
29, 0.5714, shave, 1
30, 0.4, ok, 1
31, 0.6667, get, 1
32, 0.5882, number, 1
33, 0.4, buy, 1
34, 0.4615, min, 1
35, 0.75, pick, 1
36, 0.2353, condom, 1
37, 0.25, wan, 1
38, 0.75, have, 1
39, 0.875, fun, 1
40, 0.4, buy, 1
41, 0.4286, dollar, 1
42, 0.5, card, 1
43, 0.5, be, 1
44, 0.6667, blow, 1
45, 0.875, job, 1
46, 0.4, ok, 1
47, 0.8, want, 1
48, 0.75, meet, 1
49, 0.4, ok, 1
50, 0.4, ok, 1
51, 0.875, work, 1
52, 0.4211, one, 1
53, 0.6667, see, 1
54, 0.4, ok, 1
55, 0.4, ok, 1
56, 0.25, wan, 1
57, 0.75, meet, 1
58, 0.4, ok, 1
59, 0.0, what, 1
60, 0.5882, number, 1
61, 0.5333, Star, 1
62, 0.5, wont, 1
63, 0.4286, dollar, 1
64, 0.4615, min, 1
65, 0.8, head, 1
66, 0.25, wan, 1
67, 0.75, meet, 1
68, 0.4, ok, 1
69, 0.4, ok, 1
70, 0.6, name, 1
