number,control,word,label
1, 0.5, be, 1
2, 0.0, Pretty, 1
3, 0.5, be, 1
4, 0.5714, today, 1
5, 0.5, be, 1
6, 0.7059, spring, 1
7, 0.7059, break, 1
8, 0.4286, week, 1
9, 0.5, happen, 1
10, 0.375, august, 1
11, 0.0, homeschooling, 1
12, 0.4444, school, 1
13, 0.5882, do, 1
14, 0.8235, move, 1
15, 0.5882, do, 1
16, 0.8235, move, 1
17, 0.5, be, 1
18, 0.5, be, 1
19, 0.6667, see, 1
20, 1.0, bet, 1
21, 0.5, be, 1
22, 0.2353, girl, 1
23, 0.5882, do, 1
24, 0.75, have, 1
25, 0.6667, pic, 1
26, 0.6667, love, 1
27, 0.6667, see, 1
28, 0.5882, do, 1
29, 0.6667, mind, 1
30, 0.3333, Mine, 1
31, 0.5, be, 1
32, 0.5882, profile, 1
33, 0.25, wan, 1
34, 0.6667, see, 1
35, 0.6667, see, 1
36, 0.2353, girl, 1
37, 0.5, be, 1
38, 0.2353, girl, 1
39, 0.5, be, 1
40, 0.5, be, 1
41, 0.4, seem, 1
42, 0.5, be, 1
43, 0.2353, girl, 1
44, 0.5882, do, 1
45, 0.75, have, 1
46, 0.2222, boyfriend, 1
47, 0.5, be, 1
48, 0.875, last, 1
49, 0.6, guy, 1
50, 0.6154, age, 1
51, 0.5, be, 1
52, 0.0, kinda, 1
53, 0.75, have, 1
54, 0.75, have, 1
55, 0.2222, boyfriend, 1
56, 0.5, be, 1
57, 0.6, guy, 1
58, 0.5882, do, 1
59, 0.6, guy, 1
60, 0.5, be, 1
61, 0.6667, obsess, 1
62, 0.2353, girl, 1
63, 0.0, Pretty, 1
64, 0.2353, girl, 1
65, 0.8235, course, 1
66, 0.5, be, 1
67, 0.75, have, 1
68, 0.8235, move, 1
69, 0.5882, do, 1
70, 0.5714, keep, 1
71, 0.8, touch, 1
72, 0.8, look, 1
73, 0.6667, love, 1
74, 0.6, smile, 1
75, 0.6667, pic, 1
76, 0.5, be, 1
77, 0.375, smiley, 1
78, 0.5882, do, 1
79, 0.75, have, 1
80, 0.7143, picture, 1
81, 0.75, have, 1
82, 0.5, be, 1
83, 0.5882, profile, 1
84, 0.6667, love, 1
85, 0.6667, see, 1
86, 0.5882, do, 1
87, 0.5, be, 1
88, 0.6, name, 1
89, 0.0, kristen, 1
90, 0.6, name, 1
91, 0.9333, hold, 1
92, 0.4615, min, 1
93, 0.5, be, 1
94, 0.25, potty, 1
95, 0.7059, break, 1
96, 0.8, look, 1
97, 0.0, !!, 1
98, 0.5, be, 1
99, 0.6, guy, 1
100, 0.8, look, 1
101, 0.5, be, 1
102, 0.5, be, 1
103, 0.0, ??, 1
104, 0.8, look, 1
105, 0.5, be, 1
106, 0.7143, pain, 1
107, 0.6, guy, 1
108, 0.5882, do, 1
109, 0.5, know, 1
110, 0.875, pleasure, 1
111, 0.6667, get, 1
112, 0.2353, girl, 1
113, 0.6, sit, 1
114, 0.75, lap, 1
115, 0.5882, do, 1
116, 0.75, kiss, 1
117, 0.5882, do, 1
118, 0.75, have, 1
119, 0.5, die, 1
120, 0.75, kiss, 1
121, 0.2222, boyfriend, 1
122, 1.0, bet, 1
123, 0.75, have, 1
124, 0.75, kiss, 1
125, 0.5, be, 1
126, 0.5882, do, 1
127, 0.75, have, 1
128, 0.6667, pic, 1
129, 0.7143, hope, 1
130, 0.5882, do, 1
131, 0.6667, mind, 1
132, 0.6667, see, 1
133, 0.5, be, 1
134, 0.5, pump, 1
135, 0.7059, ego, 1
136, 0.5882, do, 1
137, 0.8, stop, 1
138, 0.0, !!, 1
139, 0.2353, girl, 1
140, 0.5, pump, 1
141, 0.7059, ego, 1
142, 0.8, feel, 1
143, 0.5882, do, 1
144, 0.8, look, 1
145, 0.8, look, 1
146, 0.8, stay, 1
147, 0.6667, night, 1
148, 0.0, Buncha, 1
149, 0.2353, girl, 1
150, 0.7143, hope, 1
151, 0.5, be, 1
152, 0.5, bore, 1
153, 0.2353, girl, 1
154, 0.5, be, 1
155, 0.0, gon, 1
156, 0.625, say, 1
157, 0.5, pump, 1
158, 0.7059, ego, 1
159, 0.25, winner, 1
160, 0.75, have, 1
161, 0.5, be, 1
162, 0.7059, call, 1
163, 0.25, winner, 1
164, 0.6667, time, 1
165, 0.4615, thank, 1
166, 0.0, !!, 1
167, 0.5, be, 1
168, 1.0, bet, 1
169, 0.2222, boyfriend, 1
170, 0.625, miss, 1
171, 0.5, be, 1
172, 0.5, be, 1
173, 0.6, guy, 1
174, 0.75, have, 1
175, 0.75, kiss, 1
176, 0.5, be, 1
177, 0.875, line, 1
178, 0.625, say, 1
179, 0.7059, wish, 1
180, 0.7778, taste, 1
181, 0.75, kiss, 1
182, 0.25, Potty, 1
183, 0.7059, break, 1
184, 0.5882, do, 1
185, 0.5, think, 1
186, 0.5, like, 1
187, 0.6, guy, 1
188, 0.6154, age, 1
189, 0.7778, taste, 1
190, 0.75, kiss, 1
191, 0.5, like, 1
192, 0.75, kiss, 1
193, 0.5, like, 1
194, 0.8, cuddle, 1
195, 0.8, hug, 1
196, 1.0, bet, 1
197, 0.5, be, 1
198, 0.875, fun, 1
199, 0.8, cuddle, 1
200, 0.8, hug, 1
201, 0.6667, ask, 1
202, 0.7143, question, 1
203, 0.5, be, 1
204, 0.5882, do, 1
205, 0.6667, get, 1
206, 0.8235, go, 1
207, 0.2222, boyfriend, 1
208, 0.8, touch, 1
209, 0.5882, do, 1
210, 0.5, like, 1
211, 0.5, be, 1
212, 0.2353, girl, 1
213, 0.5, be, 1
214, 0.5, tender, 1
215, 0.8, look, 1
216, 0.5, tender, 1
217, 0.5882, do, 1
218, 0.8, touch, 1
219, 0.25, nipple, 1
220, 0.5882, do, 1
221, 0.75, kiss, 1
222, 0.6667, love, 1
223, 0.75, kiss, 1
224, 0.25, nipple, 1
225, 1.0, bet, 1
226, 0.5, be, 1
227, 0.75, kiss, 1
228, 0.8, feel, 1
229, 0.7143, hope, 1
230, 0.8, feel, 1
231, 0.8235, course, 1
232, 0.8, feeling, 1
233, 0.6667, get, 1
234, 0.5, be, 1
235, 0.8, feeling, 1
236, 0.6667, get, 1
237, 0.6, guy, 1
238, 0.5882, do, 1
239, 0.6667, get, 1
240, 0.8, feel, 1
241, 0.7778, taste, 1
242, 0.8, feel, 1
243, 0.6667, mouth, 1
244, 0.5, be, 1
245, 0.8, feeling, 1
246, 0.7692, right, 1
247, 0.5882, do, 1
248, 0.8, touch, 1
249, 0.5882, do, 1
250, 0.8, feel, 1
251, 0.5, be, 1
252, 0.6, guy, 1
253, 0.75, have, 1
254, 0.5, be, 1
255, 1.0, bet, 1
256, 0.5882, do, 1
257, 0.8, touch, 1
258, 0.7692, right, 1
259, 0.5882, do, 1
260, 0.6667, insert, 1
261, 0.5455, finger, 1
262, 0.5882, do, 1
263, 0.6667, get, 1
264, 0.8, touch, 1
265, 0.5882, do, 1
266, 0.8, touch, 1
267, 0.5882, do, 1
268, 0.5882, do, 1
269, 0.0, anything, 1
270, 0.5882, do, 1
271, 0.6364, make, 1
272, 0.5882, do, 1
273, 0.75, kiss, 1
