number,control,word,label
1, 0.3529, Sunday, 1
2, 0.875, line, 1
3, 0.5, be, 1
4, 0.0, 51/guy/fayetteville, 1
5, 0.25, wan, 1
6, 0.7059, talk, 1
7, 0.2222, gentleman, 1
8, 0.5, be, 1
9, 0.0, bein, 1
10, 0.5, be, 1
11, 0.0, dunno, 1
12, 0.5, be, 1
13, 0.0, homeschool, 1
14, 0.0, til, 1
15, 0.375, august, 1
16, 0.8235, start, 1
17, 0.4286, year, 1
18, 0.4615, Public, 1
19, 0.8235, move, 1
20, 0.375, february, 1
21, 0.4615, n, 1
22, 0.5, be, 1
23, 0.2222, nc, 1
24, 0.7778, Chicago, 1
25, 0.0, Yah, 1
26, 0.4, summer, 1
27, 0.5, be, 1
28, 0.3077, lr, 1
29, 0.0, stayin, 1
30, 0.2, gramma, 1
31, 0.0, Yah, 1
32, 0.8, look, 1
33, 0.8, look, 1
34, 0.5, be, 1
35, 0.7692, right, 1
36, 0.25, friend, 1
37, 0.2222, nc, 1
38, 0.0, Yah, 1
39, 0.0, tyvm, 1
40, 0.5, like, 1
41, 0.5, think, 1
42, 0.5, be, 1
43, 0.0, lol, 1
44, 0.0, havent, 1
45, 0.5, be, 1
46, 0.3077, lr, 1
47, 0.0, dunno, 1
48, 0.6, guy, 1
49, 0.5, know, 1
50, 0.5, be, 1
51, 0.2222, nc, 1
52, 0.0, arent, 1
53, 0.6667, obsess, 1
54, 0.875, game, 1
55, 0.0, lol, 1
56, 0.5, be, 1
57, 0.4615, month, 1
58, 0.5, be, 1
59, 0.4286, couple, 1
60, 0.4, k, 1
61, 0.5, be, 1
62, 0.4, ok, 1
63, 0.0, tyvm, 1
64, 0.0, lol, 1
65, 0.3529, he, 1
66, 0.2222, hillary, 1
67, 0.0, lil, 1
68, 0.0, bro, 1
69, 0.0, Lol, 1
70, 0.625, say, 1
71, 0.6, guy, 1
72, 0.6154, age, 1
73, 0.5, be, 1
74, 0.0, lol, 1
75, 0.0, lol, 1
76, 0.2222, boyfriend, 1
77, 0.5, be, 1
