number,control,word,label
1, 0.375, January, 1
2, 0.4, hi, 1
3, 0.0, howu, 1
4, 0.0, doin, 1
5, 0.4286, asl, 1
6, 0.4, k, 1
7, 0.0, 13/f/riverside, 1
8, 0.0, 19/m/l, 1
9, 0.5455, chat, 1
10, 0.4, ok, 1
11, 0.0, Wat, 1
12, 0.0, doin, 1
13, 0.4615, Nada, 1
14, 0.7, bout, 1
15, 0.0, lol, 1
16, 0.0, Kinda, 1
17, 0.5714, today, 1
18, 0.0, huh, 1
19, 0.0, yep, 1
20, 0.5455, chat, 1
21, 0.0, lookin, 1
22, 0.7368, hook, 1
23, 0.5455, chat, 1
24, 0.0, Hehe, 1
25, 0.0, lol, 1
26, 0.75, have, 1
27, 0.0, lol, 1
28, 0.3529, y, 1
29, 0.0, askin, 1
30, 0.0, Nuthin, 1
31, 0.0, that, 1
32, 0.5882, do, 1
33, 0.0, lol, 1
34, 0.0, whcih, 1
35, 0.5, be, 1
36, 0.5882, profile, 1
37, 0.5, like, 1
38, 0.0, Hehe, 1
39, 0.0, lol, 1
40, 0.0, sweety, 1
41, 0.0, Kewl, 1
42, 0.0, yep, 1
43, 0.0, Haha, 1
44, 0.0, ty, 1
45, 0.8, look, 1
46, 0.0, yep, 1
47, 0.0, Kewl, 1
48, 0.8571, way, 1
49, 0.5882, do, 1
50, 0.875, turn, 1
51, 0.5, be, 1
52, 0.0, wat, 1
53, 0.0, lookin, 1
54, 0.0, Doesnt, 1
55, 0.6316, matter, 1
56, 0.4286, guess, 1
57, 0.0, Kool, 1
58, 0.75, have, 1
59, 0.6667, pic, 1
60, 0.5882, profile, 1
61, 0.4, ok, 1
62, 0.0, goto, 1
63, 0.3158, homepage, 1
64, 0.4, k, 1
65, 0.0, Dang, 1
66, 0.8, look, 1
67, 0.0, Hehe, 1
68, 0.0, Lol, 1
69, 0.0, ty, 1
70, 0.0, Cuty, 1
71, 0.7368, hook, 1
72, 0.0, Haha, 1
73, 0.0, lol, 1
74, 0.3529, y, 1
75, 0.0, wat, 1
76, 0.25, wan, 1
77, 0.5882, do, 1
78, 0.0, anything, 1
79, 0.0, Whats, 1
80, 0.6667, mind, 1
81, 0.0, dont, 1
82, 0.5, know, 1
83, 0.625, party, 1
84, 0.1818, mom, 1
85, 0.1818, dad, 1
86, 0.8235, go, 1
87, 0.2222, vega, 1
88, 0.5455, let, 1
89, 0.625, party, 1
90, 0.4615, Poor, 1
91, 0.2353, girl, 1
92, 0.0, lol, 1
