number,control,word,label
1, 0.4, hi, 1
2, 0.0, howu, 1
3, 0.0, doin, 1
4, 0.4286, asl, 1
5, 0.0, 19/m/l, 1
6, 0.4, ok, 1
7, 0.4615, Nada, 1
8, 0.7, bout, 1
9, 0.0, lol, 1
10, 0.0, Kinda, 1
11, 0.5714, today, 1
12, 0.0, huh, 1
13, 0.0, yep, 1
14, 0.5455, chat, 1
15, 0.0, lookin, 1
16, 0.7368, hook, 1
17, 0.5455, chat, 1
18, 0.0, Hehe, 1
19, 0.0, lol, 1
20, 0.0, Nuthin, 1
21, 0.0, that, 1
22, 0.5882, do, 1
23, 0.0, lol, 1
24, 0.5, like, 1
25, 0.0, Hehe, 1
26, 0.0, sweety, 1
27, 0.0, yep, 1
28, 0.0, Haha, 1
29, 0.0, ty, 1
30, 0.0, yep, 1
31, 0.5882, do, 1
32, 0.875, turn, 1
33, 0.5, be, 1
34, 0.0, lookin, 1
35, 0.0, Kool, 1
36, 0.75, have, 1
37, 0.6667, pic, 1
38, 0.4, ok, 1
39, 0.4, k, 1
40, 0.0, Dang, 1
41, 0.8, look, 1
42, 0.0, Hehe, 1
43, 0.0, Cuty, 1
44, 0.7368, hook, 1
45, 0.0, Haha, 1
46, 0.0, anything, 1
47, 0.0, Whats, 1
48, 0.6667, mind, 1
49, 0.5455, let, 1
50, 0.625, party, 1
51, 0.4615, Poor, 1
52, 0.2353, girl, 1
53, 0.0, lol, 1
54, 0.0, Dont, 1
55, 0.6316, matter, 1
56, 0.625, party, 1
57, 0.6667, mind, 1
58, 0.4444, add, 1
59, 0.0, ty, 1
60, 0.0, goin, 1
61, 0.0, outta, 1
62, 0.4, town, 1
63, 0.5455, let, 1
64, 0.5882, do, 1
65, 0.0, mthen, 1
66, 0.5, live, 1
67, 0.0, l.a., 1
68, 0.0, sweety, 1
69, 0.0, dont, 1
70, 0.6667, mind, 1
71, 0.8, drive, 1
72, 0.5, know, 1
73, 0.0, lol, 1
74, 0.0, hmm, 1
75, 0.7, drink, 1
76, 0.8, want, 1
77, 0.0, Ummm, 1
78, 0.1429, beer, 1
79, 0.2857, liquor, 1
80, 0.25, lemonade, 1
