number,control,word,label
1, 0.375, January, 1
2, 0.4, k, 1
3, 0.0, 13/f/riverside, 1
4, 0.5455, chat, 1
5, 0.0, Wat, 1
6, 0.0, doin, 1
7, 0.0, lol, 1
8, 0.75, have, 1
9, 0.3529, y, 1
10, 0.0, askin, 1
11, 0.0, whcih, 1
12, 0.5, be, 1
13, 0.5882, profile, 1
14, 0.0, lol, 1
15, 0.0, Kewl, 1
16, 0.8, look, 1
17, 0.0, Kewl, 1
18, 0.8571, way, 1
19, 0.0, wat, 1
20, 0.0, Doesnt, 1
21, 0.6316, matter, 1
22, 0.4286, guess, 1
23, 0.5882, profile, 1
24, 0.0, goto, 1
25, 0.3158, homepage, 1
26, 0.0, Lol, 1
27, 0.0, ty, 1
28, 0.0, lol, 1
29, 0.3529, y, 1
30, 0.0, wat, 1
31, 0.25, wan, 1
32, 0.5882, do, 1
33, 0.0, dont, 1
34, 0.5, know, 1
35, 0.625, party, 1
36, 0.1818, mom, 1
37, 0.1818, dad, 1
38, 0.8235, go, 1
39, 0.2222, vega, 1
40, 0.3333, Yea, 1
41, 0.0, fomr, 1
42, 0.2667, riverside, 1
43, 0.4, k, 1
44, 0.0, Wat, 1
45, 0.0, wanan, 1
46, 0.5882, do, 1
47, 0.6667, get, 1
48, 0.1429, beer, 1
49, 0.0, Kewl, 1
50, 0.2105, mike, 1
51, 0.6667, get, 1
52, 0.2857, ta, 1
53, 0.5714, id, 1
54, 0.0, lurve, 1
55, 0.0, Coolio, 1
56, 0.0, wat, 1
57, 0.6, name, 1
58, 0.0, Jessie, 1
59, 0.0, nict, 1
60, 0.75, meet, 1
61, 0.0, ncie, 1
62, 0.0, lol, 1
63, 0.0, Lol, 1
64, 0.7778, flirt, 1
65, 0.5, be, 1
66, 0.1333, mack, 1
67, 0.5, wit, 1
68, 0.0, girlz, 1
69, 0.3333, net, 1
70, 0.0, Lol, 1
71, 0.0, Lol, 1
72, 0.0, ty, 1
73, 0.0, b/f, 1
74, 0.0, fdork, 1
75, 0.4444, school, 1
76, 0.0, Haha, 1
77, 0.0, g/f, 1
78, 0.75, have, 1
79, 0.0, 1/to, 1
80, 0.0, lol, 1
81, 0.5333, Thought, 1
82, 0.6667, date, 1
83, 0.2353, midget, 1
84, 0.0, Haha, 1
85, 0.0, Nuh, 1
86, 0.1818, mom, 1
87, 0.5, wont, 1
88, 0.5455, let, 1
89, 0.6667, get, 1
90, 0.0, Haha, 1
91, 0.5455, let, 1
92, 0.8889, check, 1
93, 0.5, c, 1
