number,control,word,label
1, 0.4, hi, 1
2, 0.4, hi, 1
3, 0.4286, asl, 1
4, 0.5714, m, 1
5, 0.5, fox, 1
6, 0.2857, valley, 1
7, 0.5882, do, 1
8, 0.8, want, 1
9, 0.2857, cum, 1
10, 0.3529, y, 1
11, 0.0, askin, 1
12, 0.7368, cause, 1
13, 0.0, watchin, 1
14, 0.2222, cam, 1
15, 0.0, Thats, 1
16, 0.0, ty, 1
17, 0.2222, wi, 1
18, 0.5, be, 1
19, 0.7368, fall, 1
20, 0.5, be, 1
21, 0.2222, appleton, 1
22, 0.5, be, 1
23, 0.7368, fall, 1
24, 0.5, be, 1
25, 0.0, Menomonee, 1
26, 0.7, bout, 1
27, 0.4444, half, 1
28, 0.4615, hour, 1
29, 0.5882, do, 1
30, 0.8, want, 1
31, 0.2857, cum, 1
32, 0.0, dunno, 1
33, 0.5, be, 1
34, 0.5882, do, 1
35, 0.4, person, 1
36, 0.5, be, 1
37, 0.0, ty, 1
38, 0.75, have, 1
39, 0.6, guy, 1
40, 0.0, masterbate, 1
41, 0.4, person, 1
42, 0.75, have, 1
43, 0.5882, do, 1
44, 0.75, have, 1
45, 0.7143, sex, 1
46, 1.0, play, 1
47, 0.75, have, 1
48, 0.2222, boyfriend, 1
49, 0.75, thing, 1
50, 0.0, dunno, 1
51, 0.5882, do, 1
52, 0.6364, make, 1
53, 0.2857, cum, 1
54, 0.5882, do, 1
55, 0.6364, make, 1
56, 0.0, cume, 1
57, 0.6667, give, 1
58, 0.8235, hand, 1
59, 0.6667, blow, 1
60, 0.875, job, 1
61, 1.0, play, 1
62, 0.3529, y, 1
63, 0.5, be, 1
64, 0.6667, ask, 1
65, 0.2222, makin, 1
66, 0.4286, conversation, 1
67, 0.4, ok, 1
68, 0.0, masterbate, 1
69, 0.4, person, 1
70, 0.0, wud, 1
71, 0.8, want, 1
72, 0.5882, do, 1
73, 0.5882, do, 1
74, 0.75, have, 1
75, 0.2222, car, 1
76, 0.875, work, 1
77, 0.2222, milwaukee, 1
78, 0.0, Kewl, 1
79, 0.0, that, 1
80, 0.6667, time, 1
81, 0.5882, do, 1
82, 0.875, work, 1
83, 0.6667, get, 1
84, 0.5882, do, 1
85, 0.6667, get, 1
86, 0.4444, school, 1
87, 0.75, meet, 1
88, 0.0, dunno, 1
89, 0.1818, mom, 1
90, 0.0, isnt, 1
91, 0.6667, home, 1
92, 0.5, mean, 1
93, 0.4, afternoon, 1
94, 0.0, 2morow, 1
95, 0.6667, night, 1
96, 0.7059, call, 1
97, 0.8, want, 1
98, 0.0, kewl, 1
99, 0.25, Wan, 1
100, 0.875, help, 1
101, 0.2857, cum, 1
102, 0.6, phone, 1
103, 0.75, have, 1
104, 0.8, find, 1
105, 0.6, phone, 1
106, 0.0, wut, 1
107, 0.5882, number, 1
108, 0.0, wut, 1
109, 0.6, name, 1
110, 0.0, Chris, 1
111, 0.4, ok, 1
112, 0.4615, sec, 1
113, 0.75, have, 1
114, 0.6667, sign, 1
115, 0.4444, add, 1
116, 0.4, k, 1
117, 0.7368, watch, 1
118, 0.7059, call, 1
119, 0.75, have, 1
120, 0.6667, sign, 1
121, 0.7059, call, 1
122, 0.4, k, 1
123, 0.4, verify, 1
124, 0.8235, thanks, 1
125, 0.0, gordon, 1
126, 0.2222, girlfriend, 1
127, 0.2222, sarah, 1
128, 0.2222, lee, 1
129, 0.875, job, 1
130, 0.6, phone, 1
131, 0.4, ok, 1
132, 0.0, gon, 1
133, 0.5882, do, 1
134, 0.7368, watch, 1
135, 0.4, person, 1
136, 0.5714, tomorrow, 1
137, 0.0, dunno, 1
138, 0.0, Wut, 1
139, 0.8, want, 1
140, 0.5882, do, 1
141, 0.8, want, 1
142, 0.5882, do, 1
143, 0.25, wan, 1
144, 0.5882, do, 1
145, 0.0, dunno, 1
146, 0.5, be, 1
147, 0.6, guy, 1
148, 0.6667, get, 1
149, 0.6667, see, 1
150, 0.5455, boob, 1
151, 0.0, Uumm, 1
152, 0.4, giggle, 1
153, 0.4, ok, 1
154, 0.5, be, 1
155, 0.6667, time, 1
156, 0.6, tell, 1
157, 0.5, be, 1
158, 0.4, k, 1
159, 0.7143, size, 1
160, 0.5, be, 1
161, 0.5455, boob, 1
162, 0.4, b, 1
163, 0.5, c, 1
164, 0.0, Mmm, 1
165, 0.5, Pink, 1
166, 0.25, nipple, 1
167, 0.0, Hehe, 1
168, 0.0, dunno, 1
169, 0.8, look, 1
170, 0.6667, see, 1
171, 0.6667, see, 1
