number,control,word,label
1, 0.4, hi, 1
2, 0.5714, m, 1
3, 0.5, fox, 1
4, 0.2857, valley, 1
5, 0.5882, do, 1
6, 0.8, want, 1
7, 0.2857, cum, 1
8, 0.7368, cause, 1
9, 0.0, watchin, 1
10, 0.2222, cam, 1
11, 0.0, ty, 1
12, 0.2222, wi, 1
13, 0.5, be, 1
14, 0.2222, appleton, 1
15, 0.7368, fall, 1
16, 0.5, be, 1
17, 0.7, bout, 1
18, 0.4444, half, 1
19, 0.4615, hour, 1
20, 0.5882, do, 1
21, 0.8, want, 1
22, 0.2857, cum, 1
23, 0.5, be, 1
24, 0.5882, do, 1
25, 0.4, person, 1
26, 0.0, ty, 1
27, 0.75, have, 1
28, 0.6, guy, 1
29, 0.0, masterbate, 1
30, 0.4, person, 1
31, 0.75, have, 1
32, 0.5882, do, 1
33, 0.5882, do, 1
34, 0.6364, make, 1
35, 0.2857, cum, 1
36, 0.5882, do, 1
37, 0.6364, make, 1
38, 0.6667, give, 1
39, 0.8235, hand, 1
40, 0.6667, blow, 1
41, 0.875, job, 1
42, 0.2222, makin, 1
43, 0.4286, conversation, 1
44, 0.0, masterbate, 1
45, 0.4, person, 1
46, 0.875, work, 1
47, 0.2222, milwaukee, 1
48, 0.6667, get, 1
49, 0.5882, do, 1
50, 0.75, meet, 1
51, 0.5, mean, 1
52, 0.4, afternoon, 1
53, 0.8, want, 1
54, 0.25, Wan, 1
55, 0.875, help, 1
56, 0.2857, cum, 1
57, 0.6, phone, 1
58, 0.0, Chris, 1
59, 0.4, k, 1
60, 0.7368, watch, 1
61, 0.7059, call, 1
62, 0.4, k, 1
63, 0.4, ok, 1
64, 0.0, gon, 1
65, 0.5882, do, 1
66, 0.7368, watch, 1
67, 0.4, person, 1
68, 0.5714, tomorrow, 1
69, 0.8, want, 1
70, 0.5882, do, 1
71, 0.25, wan, 1
72, 0.5882, do, 1
73, 0.6667, get, 1
74, 0.6667, see, 1
75, 0.5455, boob, 1
76, 0.6, tell, 1
77, 0.4, k, 1
78, 0.7143, size, 1
79, 0.5, be, 1
80, 0.5455, boob, 1
81, 0.4, b, 1
82, 0.0, Mmm, 1
83, 0.5, Pink, 1
84, 0.25, nipple, 1
85, 0.8, look, 1
86, 0.6667, see, 1
87, 0.5714, shave, 1
88, 0.5882, do, 1
89, 0.0, masterbate, 1
90, 0.75, have, 1
91, 0.6, guy, 1
92, 0.6364, make, 1
93, 0.2857, cum, 1
94, 0.5, tongue, 1
95, 0.5455, finger, 1
96, 1.0, bet, 1
97, 0.7778, taste, 1
98, 0.2857, cum, 1
99, 0.4, k, 1
100, 0.7059, call, 1
101, 0.5714, tomorrow, 1
102, 0.5455, let, 1
103, 0.5, know, 1
104, 0.5, be, 1
105, 0.75, meet, 1
106, 0.4, k, 1
107, 0.75, pick, 1
108, 0.9091, case, 1
109, 0.2667, someone, 1
110, 0.5, come, 1
111, 0.6667, home, 1
112, 0.5, be, 1
113, 0.5, be, 1
114, 0.5, come, 1
115, 0.75, address, 1
116, 0.2222, silly, 1
117, 0.6, name, 1
118, 0.5, be, 1
119, 0.0, jerri, 1
120, 0.4, k, 1
121, 0.5, think, 1
122, 0.5, be, 1
123, 0.5714, tomorrow, 1
124, 0.0, yep, 1
125, 0.7059, answer, 1
126, 0.4, door, 1
127, 0.0, topless, 1
128, 0.4, K, 1
129, 0.4, button, 1
130, 0.2857, shirt, 1
131, 0.2857, unbutton, 1
132, 0.1538, bra, 1
133, 0.0, kk, 1
134, 0.7059, talk, 1
135, 0.5714, tomorrow, 1
136, 0.6667, night, 1
