number,control,word,label
1, 0.4, hi, 1
2, 0.4286, asl, 1
3, 0.3529, y, 1
4, 0.0, askin, 1
5, 0.0, Thats, 1
6, 0.7368, fall, 1
7, 0.5, be, 1
8, 0.5, be, 1
9, 0.0, Menomonee, 1
10, 0.0, dunno, 1
11, 0.5, be, 1
12, 0.75, have, 1
13, 0.7143, sex, 1
14, 1.0, play, 1
15, 0.75, have, 1
16, 0.2222, boyfriend, 1
17, 0.75, thing, 1
18, 0.0, dunno, 1
19, 0.0, cume, 1
20, 1.0, play, 1
21, 0.3529, y, 1
22, 0.5, be, 1
23, 0.6667, ask, 1
24, 0.4, ok, 1
25, 0.0, wud, 1
26, 0.8, want, 1
27, 0.5882, do, 1
28, 0.5882, do, 1
29, 0.75, have, 1
30, 0.2222, car, 1
31, 0.0, Kewl, 1
32, 0.0, that, 1
33, 0.6667, time, 1
34, 0.5882, do, 1
35, 0.875, work, 1
36, 0.6667, get, 1
37, 0.4444, school, 1
38, 0.0, dunno, 1
39, 0.1818, mom, 1
40, 0.0, isnt, 1
41, 0.6667, home, 1
42, 0.0, 2morow, 1
43, 0.6667, night, 1
44, 0.7059, call, 1
45, 0.0, kewl, 1
46, 0.75, have, 1
47, 0.8, find, 1
48, 0.6, phone, 1
49, 0.0, wut, 1
50, 0.5882, number, 1
51, 0.0, wut, 1
52, 0.6, name, 1
53, 0.4, ok, 1
54, 0.4615, sec, 1
55, 0.75, have, 1
56, 0.6667, sign, 1
57, 0.4444, add, 1
58, 0.75, have, 1
59, 0.6667, sign, 1
60, 0.7059, call, 1
61, 0.4, verify, 1
62, 0.8235, thanks, 1
63, 0.0, gordon, 1
64, 0.2222, girlfriend, 1
65, 0.2222, sarah, 1
66, 0.2222, lee, 1
67, 0.875, job, 1
68, 0.6, phone, 1
69, 0.0, dunno, 1
70, 0.0, Wut, 1
71, 0.8, want, 1
72, 0.5882, do, 1
73, 0.0, dunno, 1
74, 0.5, be, 1
75, 0.6, guy, 1
76, 0.0, Uumm, 1
77, 0.4, giggle, 1
78, 0.4, ok, 1
79, 0.5, be, 1
80, 0.6667, time, 1
81, 0.5, be, 1
82, 0.5, c, 1
83, 0.0, Hehe, 1
84, 0.0, dunno, 1
85, 0.6667, see, 1
86, 0.0, tomorow, 1
87, 0.0, dunno, 1
88, 0.5, think, 1
89, 0.8, feel, 1
90, 0.5455, finger, 1
91, 0.0, Hehe, 1
92, 0.4286, guess, 1
93, 0.5, come, 1
94, 0.0, ay, 1
95, 0.1818, mom, 1
96, 0.5, be, 1
97, 0.8235, go, 1
98, 0.4286, couple, 1
99, 0.625, day, 1
100, 0.7778, house, 1
101, 0.4, giggle, 1
102, 0.4, ok, 1
103, 0.4615, edit, 1
104, 0.7059, call, 1
105, 0.0, neway, 1
106, 0.6364, make, 1
107, 0.7692, right, 1
108, 0.0, Hehe, 1
109, 0.0, Hehe, 1
110, 0.0, dunno, 1
111, 0.4, k, 1
112, 0.6667, get, 1
113, 0.8235, go, 1
114, 0.7059, talk, 1
115, 0.5, wit, 1
116, 0.0, tomorow, 1
117, 0.6667, night, 1
