number,person,word,label
1, 0.375, be, 1
2, 0.0, denni, 1
3, 0.2353, army, 1
4, 0.9412, soldier, 1
5, 0.3333, cincinnatus, 1
6, 0.375, be, 1
7, 0.3333, ok, 1
8, 1.0, have, 1
9, 0.375, sex, 1
10, 0.3333, ok, 1
11, 1.0, have, 1
12, 0.7692, picture, 1
13, 0.25, profile, 1
14, 0.0, send, 1
15, 0.2105, email, 1
16, 0.25, thanks, 1
17, 0.0, send, 1
18, 1.0, have, 1
19, 0.2222, one, 1
20, 0.375, be, 1
21, 0.2, take, 1
22, 0.9091, cloth, 1
23, 0.2857, people, 1
24, 0.2222, do, 1
25, 0.1739, get, 1
26, 0.6667, cam, 1
27, 1.0, have, 1
28, 0.7778, tit, 1
29, 0.1818, shave, 1
30, 0.3333, ok, 1
31, 0.1739, get, 1
32, 0.7692, number, 1
33, 0.2222, buy, 1
34, 0.3333, min, 1
35, 0.7692, pick, 1
36, 0.7143, condom, 1
37, 0.6667, wan, 1
38, 1.0, have, 1
39, 0.25, fun, 1
40, 0.2222, buy, 1
41, 0.25, dollar, 1
42, 1.0, card, 1
43, 0.375, be, 1
44, 0.3529, blow, 1
45, 1.0, job, 1
46, 0.3333, ok, 1
47, 0.4, want, 1
48, 0.2222, meet, 1
49, 0.3333, ok, 1
50, 0.3333, ok, 1
51, 0.7692, work, 1
52, 0.2222, one, 1
53, 0.4211, see, 1
54, 0.3333, ok, 1
55, 0.3333, ok, 1
56, 0.6667, wan, 1
57, 0.2222, meet, 1
58, 0.3333, ok, 1
59, 0.0, what, 1
60, 0.7692, number, 1
61, 1.0, Star, 1
62, 0.2353, wont, 1
63, 0.25, dollar, 1
64, 0.3333, min, 1
65, 1.0, head, 1
66, 0.6667, wan, 1
67, 0.2222, meet, 1
68, 0.3333, ok, 1
69, 0.3333, ok, 1
70, 1.0, name, 1
