number,person,word,label
1, 0.3333, hi, 1
2, 0.375, be, 1
3, 0.0, becky, 1
4, 0.3333, ky, 1
5, 0.375, be, 1
6, 1.0, have, 1
7, 1.0, boyfriend, 1
8, 0.5, break, 1
9, 0.2222, move, 1
10, 0.2105, mean, 1
11, 0.2222, do, 1
12, 0.375, sex, 1
13, 0.2222, do, 1
14, 0.2222, do, 1
15, 0.2222, do, 1
16, 0.375, sex, 1
17, 0.2222, do, 1
18, 0.375, be, 1
19, 0.2222, scare, 1
20, 0.1739, get, 1
21, 1.0, boyfriend, 1
22, 0.2222, do, 1
23, 1.0, have, 1
24, 0.0, comdom, 1
25, 0.2222, do, 1
26, 0.2222, do, 1
27, 0.0, send, 1
28, 0.7692, picture, 1
29, 0.2105, email, 1
30, 0.1739, get, 1
31, 0.25, profile, 1
32, 0.25, wait, 1
33, 0.3529, go, 1
34, 0.0, Omg, 1
35, 0.0, sooo, 1
36, 0.375, be, 1
37, 0.375, be, 1
38, 0.0, sendf, 1
39, 1.0, silly, 1
40, 0.0, Hehehe, 1
41, 0.8421, dad, 1
42, 0.0, send, 1
43, 0.8333, web, 1
44, 0.6667, cam, 1
45, 0.8421, mom, 1
46, 0.5, break, 1
47, 0.7692, hammer, 1
48, 0.0, screme, 1
49, 0.375, be, 1
50, 0.0, talkin, 1
51, 0.8421, dad, 1
52, 0.0, hatez, 1
53, 1.0, have, 1
54, 0.0, dayz, 1
55, 0.25, find, 1
56, 0.0, dont, 1
57, 1.0, have, 1
58, 0.375, be, 1
59, 0.0, suppose, 1
60, 0.2353, give, 1
61, 0.7692, number, 1
62, 0.0, dont, 1
63, 0.2222, know, 1
64, 0.4706, haft, 1
65, 0.6667, call, 1
66, 0.8421, dad, 1
67, 0.6667, call, 1
68, 1.0, card, 1
69, 0.8421, mom, 1
70, 0.0, dont, 1
71, 0.2222, know, 1
72, 0.8421, dad, 1
73, 0.0, send, 1
74, 0.6667, call, 1
75, 0.0, cardz, 1
76, 0.0, hehehe, 1
77, 0.0, kinda, 1
78, 0.2667, cool, 1
79, 0.0, omg, 1
80, 0.2222, know, 1
81, 0.2222, do, 1
82, 0.8421, mom, 1
83, 0.375, be, 1
84, 0.7692, work, 1
85, 0.25, weekend, 1
86, 0.1739, get, 1
87, 0.375, ta, 1
88, 0.0, promis, 1
89, 0.3333, tell, 1
90, 1.0, nobody, 1
91, 0.0, swear, 1
92, 0.0, momz, 1
93, 0.0, qould, 1
94, 0.2, kill, 1
95, 0.7143, Hospital, 1
96, 0.4444, lab, 1
97, 0.375, be, 1
98, 0.0, gon, 1
99, 0.3333, tell, 1
100, 0.0, imn, 1
101, 0.0, scard, 1
102, 0.3333, tell, 1
103, 0.1739, get, 1
104, 0.0, truble, 1
105, 0.2, prom, 1
106, 0.3333, tell, 1
107, 0.0, kk, 1
108, 0.375, be, 1
109, 0.4211, see, 1
110, 0.0, cincy, 1
111, 0.0, clifton, 1
112, 0.6667, call, 1
113, 0.0, Dont, 1
114, 0.6667, call, 1
115, 0.25, show, 1
116, 1.0, caller, 1
117, 0.3333, id, 1
118, 0.0, Momz, 1
119, 0.1739, get, 1
120, 0.7692, room, 1
121, 0.4706, clear, 1
122, 0.375, be, 1
123, 0.0, scard, 1
124, 0.1739, get, 1
125, 0.0, caut, 1
126, 0.25, guess, 1
127, 0.7692, house, 1
128, 1.0, nobody, 1
129, 0.2353, talk, 1
130, 0.7143, phone, 1
131, 0.2353, hang, 1
132, 0.7143, phone, 1
133, 0.7692, number, 1
134, 0.2353, give, 1
135, 0.2353, Boo, 1
136, 1.0, name, 1
137, 0.375, be, 1
138, 0.375, be, 1
