number,person,word,label
1, 0.3333, Sunday, 1
2, 0.9091, line, 1
3, 0.375, be, 1
4, 0.0, 51/guy/fayetteville, 1
5, 0.6667, wan, 1
6, 0.2353, talk, 1
7, 1.0, gentleman, 1
8, 0.375, be, 1
9, 0.0, bein, 1
10, 0.375, be, 1
11, 0.0, dunno, 1
12, 0.375, be, 1
13, 0.0, homeschool, 1
14, 0.0, til, 1
15, 0.2222, august, 1
16, 0.3333, start, 1
17, 0.25, year, 1
18, 0.2667, Public, 1
19, 0.2222, move, 1
20, 0.2222, february, 1
21, 0.5, n, 1
22, 0.375, be, 1
23, 0.3333, nc, 1
24, 0.3333, Chicago, 1
25, 0.0, Yah, 1
26, 0.2353, summer, 1
27, 0.375, be, 1
28, 0.4, lr, 1
29, 0.0, stayin, 1
30, 0.8235, gramma, 1
31, 0.0, Yah, 1
32, 0.25, look, 1
33, 0.25, look, 1
34, 0.375, be, 1
35, 0.4706, right, 1
36, 1.0, friend, 1
37, 0.3333, nc, 1
38, 0.0, Yah, 1
39, 0.0, tyvm, 1
40, 0.2, like, 1
41, 0.2, think, 1
42, 0.375, be, 1
43, 0.0, lol, 1
44, 0.0, havent, 1
45, 0.375, be, 1
46, 0.4, lr, 1
47, 0.0, dunno, 1
48, 1.0, guy, 1
49, 0.2222, know, 1
50, 0.375, be, 1
51, 0.3333, nc, 1
52, 0.0, arent, 1
53, 0.0, obsess, 1
54, 1.0, game, 1
55, 0.0, lol, 1
56, 0.375, be, 1
57, 0.2667, month, 1
58, 0.375, be, 1
59, 0.4, couple, 1
60, 0.375, k, 1
61, 0.375, be, 1
62, 0.3333, ok, 1
63, 0.0, tyvm, 1
64, 0.0, lol, 1
65, 0.4615, he, 1
66, 0.3333, hillary, 1
67, 0.0, lil, 1
68, 0.0, bro, 1
69, 0.0, Lol, 1
70, 0.2222, say, 1
71, 1.0, guy, 1
72, 0.2667, age, 1
73, 0.375, be, 1
74, 0.0, lol, 1
75, 0.0, lol, 1
76, 1.0, boyfriend, 1
77, 0.375, be, 1
78, 1.0, boyfriend, 1
79, 0.2222, do, 1
80, 0.0, complain, 1
81, 0.375, be, 1
82, 0.0, lol, 1
83, 0.5, n, 1
84, 0.0, kinda, 1
85, 0.9091, way, 1
86, 0.3333, ok, 1
87, 0.0, lol, 1
88, 0.0, Lol, 1
89, 0.375, be, 1
90, 0.2222, do, 1
91, 0.1739, get, 1
92, 0.0, lol, 1
93, 0.375, be, 1
94, 0.2105, wed, 1
95, 0.375, be, 1
96, 0.3333, night, 1
